app_id;is_free_control;price_clean
13000;0;4.99
13500;0;9.99
13520;0;2.99
13530;0;1.99
13540;0;9.99
13560;0;4.99
13570;0;9.99
13580;0;2.49
13600;0;2.49
13620;0;4.99
13630;0;4.99
15000;0;4.99
15080;0;4.99
15100;0;9.99
15120;0;9.99
15130;0;9.99
15160;0;4.99
15170;0;9.99
15190;0;4.99
15200;0;9.99
15210;0;4.99
15240;0;4.99
15270;0;4.99
15300;0;9.99
15320;0;9.99
15370;0;9.99
15380;0;9.99
15390;0;3.99
15400;0;6.59
15500;0;9.99
15520;0;9.99
15560;0;9.99
15620;0;44.99
15700;0;2.99
15710;0;2.99
15740;0;4.99
15750;0;9.99
15800;0;9.99
15900;0;9.99
15910;0;9.99
15920;0;9.99
15930;0;9.99
15960;0;9.99
15970;0;9.99
16000;0;9.99
16020;0;9.99
16030;0;9.99
16040;0;9.99
16060;0;9.99
16100;0;9.99
16110;0;9.99
16120;0;9.99
16130;0;9.99
16180;0;9.99
16200;0;8.99
16300;0;8.19
16450;0;8.19
16500;0;2.99
16600;0;9.99
16620;0;17.99
16710;0;3.99
16720;0;5.89
16730;0;5.89
16810;0;19.99
16900;0;24.99
17100;0;6.99
17120;0;1.99
17140;0;9.99
17180;0;9.99
17330;0;19.99
17390;0;19.99
17410;0;19.99
17440;0;19.99
17460;0;29.99
17470;0;19.99
17480;0;19.99
17710;0;9.75
18000;0;7.99
18020;0;7.99
18040;0;14.99
18050;0;9.99
18070;0;12.99
18100;0;12.99
18110;0;12.99
18120;0;9.75
18300;0;4.99
18400;0;9.99
18420;0;9.99
18430;0;9.99
18470;0;9.99
18480;0;4.99
18500;0;7.99
18600;0;7.99
18700;0;4.87
18820;0;4.99
19000;0;19.99
19020;0;9.99
19200;0;4.49
19320;0;4.99
19500;0;4.99
19680;0;4.99
19800;0;4.99
19830;0;4.99
19900;0;9.99
19980;0;1.99
20200;0;19.99
20500;0;19.99
20510;0;9.99
20530;0;1.99
20540;0;19.99
20550;0;1.99
20570;0;1.99
20700;0;6.99
20710;0;6.99
20820;0;1.59
20920;0;19.99
21000;0;19.99
21010;0;4.99
21030;0;4.99
21090;0;54.99
21100;0;19.99
21130;0;19.99
21300;0;4.99
21400;0;4.99
21500;0;4.99
21660;0;4.99
21670;0;9.99
21680;0;8.99
21690;0;19.99
21780;0;9.99
21800;0;2.99
21980;0;9.99
22000;0;12.49
22100;0;9.99
22120;0;9.75
22130;0;14.99
22140;0;14.99
22180;0;9.75
22200;0;9.99
22230;0;9.99
22300;0;9.99
22310;0;4.99
22320;0;14.99
22330;0;19.99
22340;0;4.99
22370;0;19.99
22380;0;9.99
22450;0;4.99
22500;0;3.44
22600;0;3.44
22610;0;0.98
22650;0;9.99
22670;0;9.99
23150;0;1.99
23300;0;5.99
23310;0;5.99
23380;0;5.99
23400;0;9.99
23420;0;9.99
23450;0;9.99
23455;0;6.99
23460;0;3.99
23490;0;9.99
23500;0;8.19
23530;0;9.99
23600;0;9.75
23700;0;14.99
24010;0;29.99
24240;0;29.99
24400;0;9.99
24410;0;8.99
24420;0;9.99
24460;0;4.99
24480;0;9.99
24640;0;19.5
24650;0;19.5
24660;0;19.5
24670;0;9.75
24720;0;19.99
24780;0;19.99
24790;0;19.99
24800;0;19.99
24810;0;19.99
24870;0;19.99
24880;0;9.99
25000;0;9.99
25010;0;9.75
25500;0;2.99
25620;0;5.99
25700;0;4.99
25800;0;14.99
25808;0;9.99
25830;0;9.99
25850;0;4.99
25890;0;2.49
25900;0;6.99
25910;0;8.99
25930;0;9.75
25980;0;9.99
25990;0;9.99
26000;0;9.99
26300;0;3.99
26500;0;4.99
26900;0;17.99
27000;0;8.49
27020;0;3.99
27050;0;5.99
27200;0;18.99
27400;0;18.99
27800;0;8.99
27810;0;6.99
27900;0;4.99
27920;0;1.99
27940;0;3.99
28000;0;9.99
29120;0;4.99
29130;0;4.99
29160;0;4.99
29180;0;8.19
29600;0;19.99
29610;0;19.99
29620;0;29.99
29630;0;19.99
29700;0;19.99
29800;0;1.5
29900;0;9.99
31100;0;12.49
31170;0;12.49
31180;0;12.49
31190;0;12.49
31200;0;12.49
31210;0;12.49
31220;0;12.49
31230;0;12.49
31240;0;12.49
31250;0;12.49
31260;0;12.49
31270;0;4.59
31280;0;4.59
31290;0;4.59
31300;0;18.99
31700;0;18.99
31800;0;5.69
31810;0;5.69
31820;0;5.69
31830;0;5.69
31840;0;5.69
31850;0;5.69
31860;0;5.69
31870;0;5.69
31880;0;5.69
31890;0;5.69
31900;0;5.69
31910;0;5.69
31920;0;5.69
31930;0;5.69
32000;0;4.49
32110;0;9.99
32120;0;9.99
32140;0;9.99
32150;0;4.99
32160;0;9.99
32200;0;9.99
32310;0;5.89
32330;0;19.5
32340;0;5.89
32350;0;5.89
32360;0;9.75
32370;0;9.75
32380;0;5.89
32390;0;2.99
32400;0;5.89
32410;0;5.89
32420;0;19.5
32430;0;19.5
32440;0;19.5
32450;0;19.5
32470;0;19.5
32500;0;19.5
32510;0;19.5
32610;0;19.99
32620;0;4.99
32630;0;4.99
32640;0;9.99
32650;0;9.99
32660;0;19.99
32680;0;19.99
32710;0;9.99
32720;0;9.99
32730;0;9.99
32740;0;9.99
32750;0;9.99
32760;0;9.99
32770;0;19.99
32900;0;19.5
33100;0;4.99
33110;0;4.99
33120;0;4.99
33130;0;4.99
33180;0;9.75
33220;0;9.75
33230;0;9.99
33320;0;9.99
33390;0;9.99
33460;0;9.99
33520;0;6.99
33540;0;2.99
33570;0;4.99
33580;0;4.99
33600;0;4.99
33610;0;4.99
33620;0;5.99
33650;0;4.99
33660;0;4.99
33670;0;9.99
33680;0;3.99
33730;0;9.99
33750;0;9.99
33760;0;6.99
33770;0;18.99
33790;0;18.99
33900;0;9.99
33930;0;14.99
33950;0;4.99
33980;0;9.99
33990;0;9.99
34010;0;19.99
34030;0;24.99
34190;0;9.99
34220;0;9.99
34270;0;9.99
34272;0;0.99
34273;0;0.99
34274;0;0.99
34275;0;0.99
34276;0;0.99
34277;0;0.99
34278;0;4.49
34279;0;0.99
34280;0;0.99
34281;0;0.99
34282;0;0.99
34283;0;0.99
34284;0;0.99
34285;0;0.99
34286;0;4.49
34287;0;0.99
34288;0;0.99
34289;0;0.99
34310;0;0.99
34311;0;0.99
34312;0;0.99
34313;0;4.49
34314;0;0.99
34315;0;0.99
34316;0;0.99
34317;0;0.99
34318;0;0.99
34319;0;0.99
34330;0;29.99
34410;0;6.99
34420;0;4.99
34500;0;12.99
34600;0;1.19
34630;0;9.99
34640;0;9.99
